epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6000000238418579,0.6399999856948853,9.999999747378752e-05,0.6998039484024048,0.692307710647583,0.6000000238418579,0.625,0.5,0.6912078261375427,0.625,1.0
1,0.36000001430511475,0.2600000500679016,9.999999747378752e-05,1.2735238075256348,0.4615384638309479,0.4000000059604645,0.625,0.3333333134651184,0.6882084608078003,0.625,1.0
2,0.47999998927116394,0.4633333384990692,9.999999747378752e-05,1.083557367324829,0.5714285969734192,0.5333333611488342,0.625,0.30000001192092896,0.6849586367607117,0.625,1.0
3,0.6000000238418579,0.6466666460037231,9.999999747378752e-05,0.8151624798774719,0.7777777910232544,0.46666666865348816,0.625,0.46666666865348816,0.6752112507820129,0.625,1.0
4,0.5600000023841858,0.6000000238418579,9.999999747378752e-05,0.8297975659370422,0.6666666865348816,0.5333333611488342,0.625,0.3999999761581421,0.676172137260437,0.625,1.0
5,0.47999998927116394,0.6833332777023315,9.999999747378752e-05,0.704680860042572,0.6000000238418579,0.4000000059604645,0.625,0.5666666626930237,0.6774214506149292,0.625,1.0
6,0.800000011920929,0.7566666603088379,9.999999747378752e-05,0.5732055306434631,0.8571428656578064,0.800000011920929,0.625,0.2666666507720947,0.6884818077087402,0.625,1.0
7,0.5600000023841858,0.5566666126251221,9.999999747378752e-05,0.8443763256072998,0.6428571343421936,0.6000000238418579,0.625,0.40000003576278687,0.6820735931396484,0.625,1.0
8,0.36000001430511475,0.3133333623409271,9.999999747378752e-05,1.1730144023895264,0.4615384638309479,0.4000000059604645,0.375,0.3333333432674408,0.698521614074707,0.5,0.6000000238418579
9,0.6000000238418579,0.6100000143051147,4.999999873689376e-05,0.8715379238128662,0.692307710647583,0.6000000238418579,0.375,0.40000003576278687,0.7024688720703125,0.5,0.6000000238418579
10,0.47999998927116394,0.5033333897590637,4.999999873689376e-05,1.0190486907958984,0.5714285969734192,0.5333333611488342,0.375,0.4333333373069763,0.7060266733169556,0.5,0.6000000238418579
11,0.7599999904632568,0.8633333444595337,4.999999873689376e-05,0.48913973569869995,0.9090909361839294,0.6666666865348816,0.375,0.23333333432674408,0.7083433270454407,0.5,0.6000000238418579
12,0.6800000071525574,0.6800000071525574,4.999999873689376e-05,0.7910402417182922,0.7692307829856873,0.6666666865348816,0.375,0.1666666567325592,0.7113971710205078,0.5,0.6000000238418579
13,0.7200000286102295,0.7733332514762878,4.999999873689376e-05,0.5500807166099548,0.7857142686843872,0.7333333492279053,0.375,0.2666666507720947,0.7188882827758789,0.5,0.6000000238418579
